"occasion","date","tag","species","section","length","weight","recap","mortality","fin_recap","f_occasion","julian"
4,2021-08-13,"ID900.226001167848","striped_jumprock",12,213,117.4,"y","n","n","occ4",18852
1,2020-11-04,"ID900.226001167849","green_sunfish",13,103,17.9,"n","n","n","occ1",18570
1,2020-11-07,"ID900.226001167850","creek_chub",29,98,9.8,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167851","redbreast_sunfish",37,63,4,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167852","redbreast_sunfish",32,125,30.9,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167853","bluehead_chub",26,76,4.2,"n","n","n","occ1",18573
1,2020-11-04,"ID900.226001167854","creek_chub",20,107,13.5,"n","n","n","occ1",18570
1,2020-11-07,"ID900.226001167855","bluehead_chub",32,91,8.1,"n","n","n","occ1",18573
5,2021-11-14,"ID900.226001167855","bluehead_chub",22,124,17.8,"y","n","n","occ5",18945
1,2020-11-07,"ID900.226001167856","green_sunfish",29,61,3.3,"n","n","n","occ1",18573
4,2021-08-14,"ID900.226001167856","green_sunfish",30,87,10.3,"y","n","n","occ4",18853
1,2020-11-04,"ID900.226001167857","redbreast_sunfish",20,90,12.5,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167857","redbreast_sunfish",13,90,12.1,"y","n","n","occ2",18664
3,2021-05-16,"ID900.226001167857","redbreast_sunfish",20,98,18.3,"y","n","n","occ3",18763
1,2020-11-04,"ID900.226001167858","green_sunfish",20,103,14.4,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167858","green_sunfish",20,103,14,"y","n","n","occ2",18664
3,2021-05-16,"ID900.226001167858","green_sunfish",20,117,25.1,"y","n","n","occ3",18763
1,2020-11-04,"ID900.226001167859","redbreast_sunfish",14,127,34.1,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167860","creek_chub",13,112,16.2,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167861","green_sunfish",17,95,12.7,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167861","green_sunfish",17,95,12.7,"y","n","n","occ2",18664
1,2020-11-07,"ID900.226001167862","redbreast_sunfish",32,120,27.2,"n","n","n","occ1",18573
4,2021-08-14,"ID900.226001167862","redbreast_sunfish",32,131,40.3,"y","n","n","occ4",18853
5,2021-11-14,"ID900.226001167862","redbreast_sunfish",32,134,40.4,"y","n","n","occ5",18945
1,2020-11-04,"ID900.226001167863","green_sunfish",12,76,7.1,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167863","green_sunfish",13,77,6.8,"y","n","n","occ2",18664
3,2021-05-15,"ID900.226001167863","green_sunfish",8,87,12,"y","n","n","occ3",18762
1,2020-11-04,"ID900.226001167864","creek_chub",20,131,26.9,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167865","bluehead_chub",17,64,2.5,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167866","redbreast_sunfish",12,88,11,"n","n","n","occ1",18570
3,2021-05-16,"ID900.226001167866","redbreast_sunfish",23,100,19.4,"y","n","n","occ3",18763
1,2020-11-04,"ID900.226001167867","creek_chub",20,112,13.5,"n","n","n","occ1",18570
2,2021-02-21,"ID900.226001167867","creek_chub",35,114,15.9,"y","n","n","occ2",18679
1,2020-11-07,"ID900.226001167868","creek_chub",26,85,6.4,"n","n","n","occ1",18573
1,2020-11-04,"ID900.226001167869","creek_chub",19,105,11.5,"n","n","n","occ1",18570
3,2021-05-16,"ID900.226001167869","creek_chub",20,126,24.9,"y","n","n","occ3",18763
1,2020-11-04,"ID900.226001167870","striped_jumprock",13,189,67.2,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167871","green_sunfish",17,91,12,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167872","green_sunfish",12,72,6.3,"n","n","n","occ1",18570
1,2020-11-07,"ID900.226001167873","creek_chub",26,95,8.5,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167873","creek_chub",26,94,9.7,"y","n","n","occ2",18664
3,2021-05-16,"ID900.226001167873","creek_chub",24,108,17.7,"y","n","n","occ3",18763
4,2021-08-14,"ID900.226001167873","creek_chub",25,119,20.3,"y","n","n","occ4",18853
1,2020-11-07,"ID900.226001167874","bluehead_chub",32,65,2.8,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167875","bluehead_chub",30,78,5.1,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167876","bluegill",35,118,24.7,"n","n","n","occ1",18574
1,2020-11-04,"ID900.226001167877","creek_chub",20,102,11.7,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167878","redbreast_sunfish",13,135,36.9,"n","n","n","occ1",18570
1,2020-11-04,"ID900.226001167879","creek_chub",20,97,8.9,"n","n","n","occ1",18570
2,2021-02-06,"ID900.226001167879","creek_chub",5,100,9.3,"y","n","n","occ2",18664
1,2020-11-08,"ID900.226001167880","redbreast_sunfish",35,82,8.3,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167881","bluehead_chub",26,67,3,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167882","creek_chub",29,84,6.1,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167883","creek_chub",36,93,9,"n","n","n","occ1",18574
1,2020-11-04,"ID900.226001167884","bluehead_chub",14,89,8.4,"n","n","n","occ1",18570
2,2021-02-21,"ID900.226001167884","bluehead_chub",40,92,8.8,"y","n","n","occ2",18679
1,2020-11-07,"ID900.226001167885","creek_chub",31,108,12.3,"n","n","n","occ1",18573
1,2020-11-04,"ID900.226001167886","creek_chub",13,104,12.6,"n","n","n","occ1",18570
5,2021-11-14,"ID900.226001167886","creek_chub",33,115,16.4,"n","n","n","occ5",18945
1,2020-11-07,"ID900.226001167887","creek_chub",26,95,8.5,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167887","creek_chub",26,95,9.9,"y","n","n","occ2",18664
3,2021-05-16,"ID900.226001167887","creek_chub",23,98,10.4,"y","n","n","occ3",18763
